Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
right,stop,0,0,0,0,5,3,33,5,193.39266800880432,None,1,0.11859703063964844,193.39266800880432,None,193.6332859992981,None,194.62827610969543,194.98719811439514,194.62827610969543,194.98719811439514,193.6332859992981,None,193.6332859992981,None,193.6332859992981,None,1,3,519.0355777740479,-1.0,-1,199.0373179912567,None,300,350,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,5,4,34,4,199.56832098960876,None,1,0.35486578941345215,199.56832098960876,None,200.0568540096283,None,201.02810502052307,201.3809621334076,201.02810502052307,201.3809621334076,200.0568540096283,None,200.0568540096283,None,200.0568540096283,None,1,3,533.374547958374,706.507682800293,right,203.1904981136322,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,5,5,35,4,203.69076204299927,None,1,0.3759191036224365,203.69076204299927,None,204.17366909980774,None,205.1748661994934,205.53040599822998,205.1748661994934,205.53040599822998,204.17366909980774,None,204.17366909980774,None,204.17366909980774,None,1,3,580.2099704742432,571.9213485717773,right,207.2005500793457,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,6,0,36,1,207.71840500831604,None,1,0.25948190689086914,207.71840500831604,None,208.07261419296265,None,209.06444001197815,209.4229211807251,209.06444001197815,209.4229211807251,208.07261419296265,None,208.07261419296265,None,208.07261419296265,None,1,3,767.1644687652588,724.2405414581299,left,211.44424700737,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,6,1,37,1,211.9579050540924,None,1,0.2979588508605957,211.9579050540924,None,212.37533903121948,None,213.3760221004486,213.72487497329712,213.3760221004486,213.72487497329712,212.37533903121948,None,212.37533903121948,None,212.37533903121948,None,1,3,733.8998317718506,750.9243488311768,left,215.74068808555603,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,6,2,38,3,216.25685811042786,None,1,0.35607004165649414,216.25685811042786,None,216.73682713508606,None,217.76600408554077,218.11872100830078,217.76600408554077,218.11872100830078,216.73682713508606,None,216.73682713508606,None,216.73682713508606,None,1,3,640.2418613433838,652.2316932678223,right,219.93725299835205,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,6,3,39,4,220.4418981075287,None,1,0.47350406646728516,220.4418981075287,None,221.0436191558838,None,222.03997707366943,222.39703512191772,222.03997707366943,222.39703512191772,221.0436191558838,None,221.0436191558838,None,221.0436191558838,None,1,3,405.1661491394043,431.08177185058594,right,223.75512218475342,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,6,4,40,2,224.29164814949036,None,1,0.4501039981842041,224.29164814949036,None,224.83235001564026,None,225.8594310283661,226.2117440700531,225.8594310283661,226.2117440700531,224.83235001564026,None,224.83235001564026,None,224.83235001564026,None,1,3,467.79918670654297,-1.0,-1,230.1988890171051,None,300,400,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,6,5,41,5,230.73004007339478,None,1,0.4171140193939209,230.73004007339478,None,231.28023505210876,None,232.26107215881348,232.60561203956604,232.26107215881348,232.60561203956604,231.28023505210876,None,231.28023505210876,None,231.28023505210876,None,1,3,349.95365142822266,-1.0,-1,236.5306580066681,None,350,400,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,7,0,42,3,237.06426310539246,None,1,0.4560060501098633,237.06426310539246,None,237.61368918418884,None,238.62005519866943,238.9683220386505,238.62005519866943,238.9683220386505,237.61368918418884,None,237.61368918418884,None,237.61368918418884,None,1,3,351.3820171356201,499.161958694458,right,240.33287501335144,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,7,1,43,0,240.85165810585022,None,1,0.46022987365722656,240.85165810585022,None,241.44045996665955,None,242.46280217170715,242.8110740184784,242.46280217170715,242.8110740184784,241.44045996665955,None,241.44045996665955,None,241.44045996665955,None,1,3,193.31669807434082,559.6864223480225,left,244.07011008262634,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,7,2,44,3,244.6000781059265,None,1,0.43158698081970215,244.6000781059265,None,245.13972210884094,None,246.1688141822815,246.51258301734924,246.1688141822815,246.51258301734924,245.13972210884094,None,245.13972210884094,None,245.13972210884094,None,1,3,585.9649181365967,625.1213550567627,right,248.2434949874878,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,7,3,45,1,248.77705097198486,None,1,0.31658291816711426,248.77705097198486,None,249.19439816474915,None,250.21768999099731,250.56748414039612,250.21768999099731,250.56748414039612,249.19439816474915,None,249.19439816474915,None,249.19439816474915,None,1,3,589.9052619934082,866.2862777709961,left,252.54557514190674,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,7,4,46,3,253.0619740486145,None,1,0.49462008476257324,253.0619740486145,None,253.66629600524902,None,254.6626009941101,255.01412916183472,254.6626009941101,255.01412916183472,253.66629600524902,None,253.66629600524902,None,253.66629600524902,None,1,3,577.7008533477783,615.7419681549072,right,256.7362129688263,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,7,5,47,1,257.2535500526428,None,1,0.32799291610717773,257.2535500526428,None,257.67215514183044,None,258.6615481376648,259.0240161418915,258.6615481376648,259.0240161418915,257.67215514183044,None,257.67215514183044,None,257.67215514183044,None,1,3,470.949649810791,769.1380977630615,left,260.7882001399994,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,8,0,48,3,261.30807304382324,None,1,0.4094870090484619,261.30807304382324,None,261.8416039943695,None,262.8565261363983,263.2237780094147,262.8565261363983,263.2237780094147,261.8416039943695,None,261.8416039943695,None,261.8416039943695,None,1,3,732.3892116546631,577.3801803588867,right,265.0265471935272,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,8,1,49,2,265.5307261943817,None,1,0.6189169883728027,265.5307261943817,None,266.25147819519043,None,267.26827096939087,267.618026971817,267.26827096939087,267.618026971817,266.25147819519043,None,266.25147819519043,None,266.25147819519043,None,1,3,661.1001491546631,-1.0,-1,271.81392216682434,None,350,450,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,8,2,50,0,272.34629011154175,None,1,0.4866459369659424,272.34629011154175,None,272.9577741622925,None,273.94336009025574,274.2921690940857,273.94336009025574,274.2921690940857,272.9577741622925,None,272.9577741622925,None,272.9577741622925,None,1,3,241.44482612609863,502.5308132171631,left,275.6000130176544,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,8,3,51,0,276.1043620109558,None,1,0.40119504928588867,276.1043620109558,None,276.58630204200745,None,277.5788381099701,277.92515206336975,277.5788381099701,277.92515206336975,276.58630204200745,None,276.58630204200745,None,276.58630204200745,None,1,3,246.74725532531738,468.5530662536621,left,279.2016689777374,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,8,4,52,3,279.71095609664917,None,1,0.3855440616607666,279.71095609664917,None,280.1918921470642,None,281.2137260437012,281.56048607826233,281.2137260437012,281.56048607826233,280.1918921470642,None,280.1918921470642,None,280.1918921470642,None,1,3,265.8374309539795,540.3070449829102,right,282.8981280326843,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,8,5,53,0,283.41527915000916,None,1,0.4690721035003662,283.41527915000916,None,283.95992708206177,None,284.9562520980835,285.29666900634766,284.9562520980835,285.29666900634766,283.95992708206177,None,283.95992708206177,None,283.95992708206177,None,1,3,758.427619934082,1427.7925491333008,left,288.0165071487427,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,9,0,54,3,288.5329170227051,None,1,0.4085078239440918,288.5329170227051,None,289.01701498031616,None,290.0127520561218,290.35922598838806,290.0127520561218,290.35922598838806,289.01701498031616,None,289.01701498031616,None,289.01701498031616,None,1,3,44.61216926574707,530.7972431182861,right,291.4953770637512,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,9,1,55,1,292.0040581226349,None,1,0.48928403854370117,292.0040581226349,None,292.6074001789093,None,293.6197130680084,293.9731819629669,293.6197130680084,293.9731819629669,292.6074001789093,None,292.6074001789093,None,292.6074001789093,None,1,3,359.84063148498535,597.0296859741211,left,295.45981097221375,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,9,2,56,0,295.9759681224823,None,1,0.48560500144958496,295.9759681224823,None,296.57737612724304,None,297.5935320854187,297.9488730430603,297.5935320854187,297.9488730430603,296.57737612724304,None,296.57737612724304,None,296.57737612724304,None,0,3,3000.87308883667,-1.0,-1,301.4840099811554,None,,,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,9,3,57,0,301.97704315185547,None,1,0.5522520542144775,301.97704315185547,None,302.6406161785126,None,303.6348750591278,303.98997497558594,303.6348750591278,303.98997497558594,302.6406161785126,None,302.6406161785126,None,302.6406161785126,None,1,3,436.5372657775879,695.1150894165039,left,305.65512108802795,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,9,4,58,2,306.16624903678894,None,1,0.4593958854675293,306.16624903678894,None,306.7093839645386,None,307.7401080131531,308.09134817123413,307.7401080131531,308.09134817123413,306.7093839645386,None,306.7093839645386,None,306.7093839645386,None,1,3,358.691930770874,-1.0,-1,311.93888306617737,None,400,450,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
